Question_1,Question_2,flag
How can I do the version control of the input and context classification input?,Go to %Login → Get Stsarteud → DATA ADMqINIOSTQRAETION WITH GRAPH Select tre%e / Mfile from dropdown l%ist. Tree will be LdisplaFyed.,0
Is there any naming convention?,Do you know whe^re I can fin)d my inp5ut testing cases?,0
"Thank you!
",Whe re can I find the opti on list you m entioned?,0
I can’t find the delete button for input classification nodes?,I can ’ t find the deilete buttYon for input classification lnodes?,1
 Currently we do not have this facility. Users will need to contact the admin,Currently we do not hvae this facility. Users will need to contact the admni,1
Can I add more nodes?,by then then the test case generation will be terminated.,0
"Expected output is generated from the output tree.
",Go to Login → Get Started → DATA ADMINIST RATION W ITH GRA PH. S elect tr ee / file fr om dropdown list.,0
"Currently we do not have this functionality. We are developing a report to export all test cases along with the input, expected output and application output.","okay, done. dave was able to delete ten nodes from another classfication.",0
"Sorry, we don’t have this option.
",Can I set specific ex5ecutiozn time for the @test cas+es?,0
"Mouse scroll to zoom-in and zoom-out the tree, or click and hold to move tree around.
","Mose croll to zom - in and zom - out the tee, or lick and hold to move tree around.",1
"You can merge the two tree files offline. And then upload the merged JSON file.
","You can go to Login → Get Srted → DATA ADMISTAION, select file tpe (inpt, cntex or outut) then lick submit.",0
Can multiple users modify the same application input and context classification input?,and i really didn't. do i need to have rebuild it from a scratch?,0
"Understand
",Can I add Jmore nodes?,0
What do you mean by property?,please contact... the administrator for that,0
"You can simplify click the back button.
","Yes, I woul lie to zom out a bit. How can I do tat?",0
 We are in the process of reconfiguring the UI this feature will be removed,We are in the oproAcess of r9econfOiguYring the UI this feaWt+ure witll be removed,1
JSON file,dJSON file,1
How can I do the version control of the input and context classification input?,How can I do the Pvpersion control of the inHput and context cl*assifiHcLatioin inpIut?,1
"Thank you this sugguest!
",Tere is no limit. You can add chld node as needed.,0
"I am sorry, the answer is YES.
","or, it can delete our extra test cases",0
How to delete nodes from input classification?,How to delete nodes rfom input classiifcatino?,1
 How can I contact the admin?,How can I co2ntaEct the ad9min?,1
"Like, is it string, integer, or what?","You can add, dele te or rename a n ode in the conte xt t ree.",0
"Thank you for your help.
",thank only you for your help.,1
Great! Do you mean each node represents a context feature?,G reat! Do you mean each no de represen ts a context feature?,1
 Do you suggest not to use this?,where do you suggest not trying to use this?,1
Can I upload an image file for my input classification tree?,the output is stored independently of contents of string. this output is generated when the application.,0
"No
",oh no,1
"JSON. You should build your context tree as a json file.
",json. org you should build your context information tree here as with a json file.,1
"There is no nodes limitationn.
",there is no default nodes for limitationn.,1
What’s the plan for it?,what ’ s your time for it?,1
"Exactly. The operation is the same.
",Exa ctly. The ope ration is the same.,1
Where to check the test case execution status?,Where to chSeck the test case exKecut5ion status?,1
"You can try Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move mouse over the node.Right click on it and option to delete the node will be displayed.
",All kinds of AI Kapplixca_tion.,0
Can I delete nodes from input classification tree?,Can I delete ndoes from input classification rtee?,1
"I don’t know
",can we already have no customized shape of nodes when drawing the hierarchical tree?,0
The context tree should have up to 3 levels.,How can I u pload my input classi fication?,0
"Once the “test case group” is created, users can edit input,context and output trees. Basically, you can generate the test case group first and then edit the information.
",can i explain his order of input classification?,0
Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Rename Node” option.A popup window will open.Change name and Click rename,go... login → being started → data administration with graph move the mouse between next node. right click on button and select to rename node ” option. a status button will open. change name and status then,1
"For a given image or video, which features are considered context?","because for a given text image format or video, which features are considered context?",1
"No. Only functional tests can be done
",already it took me a long time to generate all out the test call cases. and is not there a problem with placing too few many nodes in my context tree?,0
"If I switch to other app and come back, the same directory still open?","when i switch to other devices and come in, the same is still open?",1
"You can add, delete or rename a node in the context tree.",has there template available to reference?,0
"No.
",so how quickly is each output stored? are there options available for another us to select?,0
Probably you could try to refresh the page and redraw your tree.,How do we impov the invalid otput?,0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",No,0
How is each output stored? Are there options for us to select?,why is each output stored? are it areas for us to analyze?,1
"If I add more than 10 nodes at a level, would it be too much?","if us add more than 10 nodes at ground level, do we be too dangerous?",1
No. This feature will need to be developed.,Can I use inpfut clCarssificalti0on files as my content +cladssifiFcatigon?,0
There is no limit to the number of nodes you can create at each level. You can add nodes as needed.,What type of acton is for delet test cse?,0
"Let me check
",let only me check,1
"Probably you could try to refresh the page and redraw your tree.
",probably you could learn to fry the air and redraw your outline.,1
"You need to go navigation: Login -> Get Started-> Data Administration with graph. Move mouse over the node.Right click on it and option to delete the node will be displayed.
",You nZeed to go ^nvacvigation: Login -> Get Started -> Data Administration writh greaph. Move mwouse ovAer the node. RighUt click on it and optioon to delete the nJode will be Odtisplayed.,1
"Yes, you can go to Login-> Get Started -> TEST CASE GROUP, then select appropriate test case group, scroll to right till you see the action column. Hover over each action button to see the description, click ‘View Test Cases’. Then you will be redirected to input test cases. Did I solve your problem?",I don ' t uendrstnad,0
Can multiple users modify the same application input and context classification input?,good hope! where can i find the japanese version.,0
"We only accept JSON file. You can go Go to Login → Get Started → DATA ADMINISTRATION 1. Select JSON File 2. Select File Type (Input,Context or Output) 3. Click submit.
","We oJnly accepxt JSEON file. You can go Go to Login → Get Started → DATA HADMINISTRbAT5IMON 1. SBelect iJSON FilMe 2. SeWlect FilVe Type (Input, Conhtexit or Output) 3. Click submit.",1
"Yes. We plan to support it in later version
",Yes. We plaln to s1uMpport it in later verMsizon,1
"Yes, you are right! So far, our context tree only supports 3 levels. When designing the context tree, be careful to the level restriction.
","if no, one application user can ’ t login with multiple pages browser.",0
"Sorry, I don't understand you question.
",You mean if I refresh I w ill lose wh at I h ave bui lt so far!?,0
"Yes. After you save it, we can download the corresponding json file generated by the app.
",scoring difference,0
"Go to  Login → Get Started → Test Case Group
",How can I delee or add a nde?,0
"For adding nodes, you can go Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Create Child Node” option.A popup window will open. Add name for the node and click create.","Use 5Group Name, Version, Sub - ver$siRon fields to crneate different groups for the sDame appliceaXtioTn",0
No. This feature will need to be developed.,I can fidn the way to deleet nodes from classicfaitino?,0
Could you please clarify what do you by the type?,Could you pl ease clarify w hat do you by the ty pe?,1
How many nodes can I enter for my input classification?,how many nodes can ray enter for his next classification?,1
"If I accidently delete the node, can I recover it?",No.,0
"You can customize your context features by simply changing the labels of nodes, adding or deleting nodes in the context tree.
","you could customize multiple context features by periodically changing our number of components, adding or deleting elements in the context tree.",1
"You can go to Login → Get Started → DATA ADMINISTRATION, select file type (input, context or output) then click submit.
",the whole tree should have only three levels. there is no limit on low the available number of nodes and therefore child average nodes. higher the 4 nodes more no of test test cases will always be generated. so if possible... create trees with many key values.,0
The context tree should have up to 3 levels.,the context memory structures have up to 15 levels.,1
Are you looking for restoration?,and are you looking for restoration?,1
"You need to go navigation: Login -> Get Started-> Data Administration with graph. Move mouse over the node.Right click on it and option to delete the node will be displayed.
",We paln to do that later,0
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH
",Can I co ntinue to modi fy on it?,0
currently this module is under development,currently this module the under development,1
Do you have a plan for this function?,"Sorry, we don ’ t hvae tihs potion.",0
 Currently we do not have this facility. Users will need to contact the admin,but we don't have an facility. they will need to contact another admin,1
 All kinds of AI application.,All kinds of AI appliScGatUion.,1
"Sorry, we use JSON file to generate testing cases.
",go path to login group → get started → data administration module with graph,0
Can I delete nodes from input classification tree?,can when i delete nodes from each input tree classification tree?,1
Do I need to retrigger the generate test case action if I deleted input or context test case?,"You can add, dlete or ename a nod in the ontex tree.",0
Are you looking for recovery?,I mista kenly d eleted the context tree I just crea ted. Is th ere any way to resto re it?,0
"Oh, sorry to inform you that our context tree only supports up to 3 levels of design. I am afraid you have to get rid of the 4th level or simplify your design to 3 levels. ",can i set the test series cases branch number digit for each test case branch?,0
"We can’t do that
","I rtied to add forht level, but not orwking.",0
"Yes, it will be delivered soon
",Is theVre any lismi1tatio&n for creDatiXng nodes for input classification?,0
There is little room for me to add nodes to the third level of the context tree.,"No, you cann ot.",0
It’s needed to simplify the work,It ’ s nIeeded to simBpliYfy the work,1
"Correct, with using the same input and context group.","correct, with using their same background and context knowledge.",1
"The tree should have only three levels.
",why am not working before everybody try to add more nodes for once?,0
"I don't know
",I don ' t kBnow,1
"There is no such limitationn.
",There is no such limi tationn.,1
How is each output stored? Are there options for us to select?,so how quickly is each output stored? are there options available for another us to select?,1
What is the difference between expected output and application output?,"No, we don ' t have that option. We utliz ssems file exprer. But once uer open the directory and selects a file, the sam directory will pen durng the ser seson.",0
Go to Login → CONTACT  Click to view Google Feedback Form Add bug report.,might i make my own digital classificatin tree?,0
"We will add the feature in future
",We will add the feeaturie in futurXe,1
Can I delete nodes from input classification?,can i delete nodes from these files?,1
"I mean the node detail, such as creation time, last modification time, number of children and etc.","I mean the node detail, su ch as creation ti me, last modifi cation t ime, numb er of childr en and etc.",1
How do we improve the invalid output?,"right afterwards, we only accept new data.",0
Have you tried 'create child node' method?,How many parents can ech child node ave?,0
"Sorry, we don’t have that option. But you can create a new node.
",no. if user deleted software / context test case address user will reduce to program or context test case memory.,0
"Yes, Thank you very much.
","Yes, Thank you vrey muhc.",1
"I don't know
",I wasn ' t a!ble to find my ivnput classification Ffile.,0
Sure.,Usre.,1
"In the child node user can put all the possible output strings or output tree can be generated automatically based on the input and context tree.
",i can change the way to delete this from memory?,0
"Go to  Login → Get Started → DATA ADMINISTRATION
",Go to Login → Get State → DATA AMISTRATIN,1
May I ask how many nodes in your context tree?,How to expo rt the output? Can I download the r eport i nstead of going b ack and f orth?,0
We accept JSON file.,We accept JSON fpile.,1
"No. Currently we do not have this facility.
","hello, mouse can ’ t hold the green button over input classification nodes. can you follow us? sure. move mouse over an node. right click on value and cause to delete this node will be displayed.",0
"You can organize your context features into a tree structure level by level. A parent node presents a context feature, and a child node presents a subfeature of that context feature.","students can organize all input features into each tree structure level by branch. a child node represents another context function, and a child node presents a subfeature of that the feature.",1
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",the question comes interesting.,0
"Yes, I would like to zoom out a bit. How can I do that?",what nature is test case modeling?,0
What’s the plan for it?,You nede to go naigvatoin: Olgin -> Get Started -> Adta Administration with graph. Omve mouse ovre the node. Right cilck on it and optino to edlete the noed will be displayed.,0
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Drag and rearrange nodes feature is available . 
",Our sys tem d oesn ' t have nodes limitationn.,0
"No.
",You can find the contact iJnformat2iLon in the wTebpagle,0
Can I change the order of input classification?,can i change exactly the order of every input classification?,1
"Hello, how can I edit my nodes for input classification? Sure, you can edit or delete nodes. How many nodes can I add at most in one time?",user expected application output is generated from the output input tree. application output is generated after the execution of test cases. expected output output the tree data will be used to quickly compare actual application performance output to rate the performance quality and 。,0
JSON file,SJON file,1
"Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Hover mouse on the target node, and right click. You'll see the corresponding options.
","navigation : login → project get clicked started → data administration with graph. do hover... mouse clicking on from the next target node, and right click. you'll see the next corresponding ui options.",1
Could you please provide clarification?,Sel ect tree / file from dropd own l ist. Tree will be displayed.,0
"Let me check
",let me see,1
Why is there only one file version available?,Why is there o nly one file version avai lable?,1
"What will happen if the ""generate test cases"" action was triggered and I interrupted it?",Go to Login → Get St arted → DATA A DMINISTRATION WI TH GRA PH. Drag and rearrange nodes fea ture is a vailable. You can m odify the t ree this way.,0
 Do you suggest not to use this?,Do you sugegts not to use tihs?,1
How can I find the input classification file?,What is the impact if the utest t3ools are usCed by multiple uCsers for d_iffereRnt apps at the same tiGme?,0
How can I find the input classification file?,thank ye lord sugguest!,0
"Application output is generated after the execution of test cases.
",I saved! Wh ere can I f ind the saved ver sion.,0
"“Create Child Node” option. A popup window will open. There is a plus(+) symbol on the popup window. With this you can add as many nodes required,then click create to add nodes to the tree.
","Sorry, now we on ly support adding c ategory names to each no de.",0
"Move mouse over the node. Right click on it and option to delete the node will be displayed.
",MoZve mouse Zover the node. Right clicxk on it and opt3ion to dOelete the node will be disupilayed.,1
What type of input classification file can I upload?,Copy tere is to coyp the tree,0
"Actually, there is no restrictions. However, more nodes will take more time to generate test cases and modeling inputs.
",Our system doesn ' t pro vide recove ry.,0
What's your issue,bull.,0
Can I change the order of input classification?,Can I change the roder of ipnut classification?,1
I can’t login with my account and password. ,Wha9t ' s the issue?,0
How many nodes can I enter for my input classification?,How nmany noMdes can I enter for my input classWihficaztiown?,1
How can I control the test cases number of each test case branch?,Can I add morbe nodes?,0
It’s needed to simplify the work,It ’ s eneded to simplify the owrk,1
I think you guy should really develop such function.,I think you guy sould really develop suh unctio.,1
I have been waiting for the test cases to be generated for a long time. It takes like forever...,"Cur rently we do not have this functionality. We are developing a r eport to exp ort all test cas es al ong with the i nput, expected outp ut and ap plication output.",0
"Sorry, we don't have this option right now. If you have more question, please contact admin.
",thank heavens for your help!,0
"Sure. You can upload your own tree by using JSON file.
",they question your quite intersting.,0
Go to Login → CONTACT  Click to view Google Feedback Form Add bug report.,log go to login → contact twitter click to page view google feedback form add bug status report.,1
"what do you mean
",what do you eman,1
"No
",why harm should i do to a tree node?,0
Expected output is generated from output tree and stored as tree (similar to the input and context tree).,"While uildin the context tree, my web pae was fozen. wat shuld I do?",0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",You are Zwelcombe,0
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH
",go path to login group → get started → data administration module with graph,1
Can I upload my own JSON file as input classification and content classification?,Can I upload my own JSON fi0le as input culassiflicatqipon and c6oontent clNassHificatHiyon?,1
Do you have a JSON file?,hat ' s the mamum dpth of the context tree?,0
I saved! Where can I find the saved version.,Application output is generated af ter the execution of t est c ases.,0
No.Also User should not use same login with currently with multiple browser.,no. also users should not use the information only currently with multiple browser.,1
"Do you mean reconstruct your context tree? Of course, you can do it.","do you mean reconstruct your your old context tree? of course course, you really can do that it.",1
"There is no such limitation.
",There is no such limit ation.,1
"Thank you this sugguest!
",... did i find the input classification file?,0
"I am not sure
","you can edit, delete or rename their string in the context command.",0
Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Tree will be displayed. Dropdown list will have “File Name” and “File Type”,you think you guy should normally serve such function.,0
Can I add more nodes?,"yes, from an output tree.",0
"Sure. You can choose to upload files or create online.
",Sure. You can c hoose to upload files or crea te onli ne.,1
What to do with deleting nodes from input calssficaition.,"Tset cases can be generated for any type of application, but crurentyl the applicatoin can have inupt type imgae onyl",0
"User can manipulate this output tree to model the expected output.
",ser can manipulate this output ree to moel the expected output.,1
"We will add the feature in future
",we may expand the feature in future,1
"Yes, you can go to Login-> Get Started -> TEST CASE GROUP, then select appropriate test case group, scroll to right till you see the action column. Hover over each action button to see the description, click ‘View Test Cases’. Then you will be redirected to input test cases. Did I solve your problem?","Yes, you can go to Log6in -> Get Started -> TEST CATSE GROUP, then select %aspprLopriate test acase gAroup, scroll to right till you see the action column. HoDver over each +action button to see the description, click ‘ View Test Case@s ’. Then you will be redirected to input test %cases. Did I sol%ve your problem?",1
"Yes, you can. Just drag and rearrange the nodes in your tree.
","Previous inform ation are the previous stages, like in put and contect s tages.",0
Can I add multiple nodes to my context tree at once?,would one add multiple nodes to my context map at once?,1
"Sorry, we don't accept image file right now, but you can upload JSON file.","sorry, if we don't accept an image file right at now, but listen you can probably upload your json file.",1
"Sure. You can upload your own tree by using JSON file.
",Name the files accrodingyl and store multlipe versions of the ifle. Also ocpy tree funcitno is available,0
"The more nodes, the more test cases will be generated. It will take a looooong time. So if possible delete some redundant nodes and just retain the key ones.
",possibly what thousand kinds of tests can be successfully done with this tool?,0
"Sorry, I don't understand you question.
","anyway, words could't understand you question.",1
How is the output tree generated?,how is the solar tree produced?,1
What kinds of tests can be done with this tool?,possibly what thousand kinds of tests can be successfully done with this tool?,1
The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more no of test cases will be generated.So if possible create trees with key values.,still correct.,0
"Oh, thanks. Clear instructions.","no, thanks. just instructions.",1
"Correct, with using the same input and context group.",can i set specific software execution run time for these the test cases?,0
Expected output as the output for the final stage?,How can I corre ct the typo in my n ode lab el?,0
"Users can create an output tree or output tree can be generated automatically based on the input and context tree. Once the “test case group” is created, users can edit input,context and output trees.
","if i wasn't yet able to create and delete a node that from that input inclassification, who can also you help me?",0
When is the expected output generated?,Moe the mouse over the node. Rigt click on it and elect “ Rename Nde ” optin. A poup windo will open. Chnge name and Click renme.,0
"Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Hover mouse on the target node, and right click. You'll see the corresponding options.
","quick navigation : login →... get... started → data administration with graph. hover mouse click on around the target input node, loop and push right click. you'll see the corresponding link options.",1
"Sorry, we don’t have this option.",possibly going back to the context data / subject page.,0
"Sorry, we don't accept image file right now, but you can upload JSON file.",I am not srue,0
"Probably you could try to refresh the page and redraw your tree.
",what kinds of ai applications i test mapped under this tool? can users test nlp applications?,0
I have difficulty to upload my own input classficiation file?,i must have difficulty managing to properly upload my own input file classficiation file?,1
How can I reset my password? I can’t remember my password. ,Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Sele9ct t_ree / file from dropAdo%wn liBst. ClOick DeleJte.,0
"Yes, you can go to Login-> Get Started -> TEST CASE GROUP, then select appropriate test case group, scroll to right till you see the action column. Hover over each action button to see the description, click ‘View Test Cases’. Then you will be redirected to input test cases. Did I solve your problem?",i need in here.,0
"Well, you can go Go to Login → Get Started → DATA ADMINISTRATION 1. Select JSON File 2. Select File Type (Input,Context or Output) 3. Click submit.",can i do all that manually?,0
"Did you save it? You can only restore records from the saved tree. If you didn't, you'll lose all the info.","Did you sve it? You can ony store rerds from the sved tee. If you didn ' t, you ' ll loe all the nfo.",1
"You can customize your context features by simply changing the labels of nodes, adding or deleting nodes in the context tree.
","thus you eventually can customize your context features by initially simply changing over the labels of nodes, thereby adding or carefully deleting nodes in creating the context tree.",1
Can I set the test cases number for each test case branch? ,can i set the test case number for every test case involved?,1
Could you please provide detailed navigations to get to the output information?,Could you p lease prov ide detailed navigations to get to the output in formation?,1
Can I specify the file save path in advance instead of selecting it every time?,let go me check,0
Will you support multi-user access later?,May I use input lcassfiication file as contnte clasfsiictaoin?,0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",The treGe should have only three nlevels. ThIere is no limit on the number of n8odes and child nodes. Higher the nodeHs modre number of tesjt fcases will be genoeryated.,1
I think you created too many nodes in you context tree. You can delete some redundant nodes and just keep the important ones. ,How is the output tre gnerate?,0
"We have no plan for it yet
",we have no dates for today yet,1
 Can user use same login with currently with multiple browser?,"and the webpage was frozen when i back was first creating the context tree. if i finally refresh this page, will do i lose back my phone records?",0
You can Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Rename Node” option.A popup window will open.Change name and Click rename. Do I answer you question?,You can Go to Login → Get Straetd → ADTA ADMINISTRATION WTIH GRAPH Move the mouse over the node. Irght click on it and select “ Rename Node ” option. A poupp window will open. Chagne anme and Clcik renaem. Do I answer you question?,1
"Hello, I can’t find the delete button for input classification nodes. Can you help me?Sure. Move mouse over the node. Right click on it and option to delete the node will be displayed.","send hello, back i also can ’ t find the delete button for local input classification list nodes. can you help me? sure. you move your mouse over the node. right click on it and option used to delete the node itself will be clearly displayed.",1
"I understand that, but can you provide a little bit more explanation?","i considering that, but can maybe maybe a little bit further explanation?",1
"We only accept JSON file. You can go Go to Login → Get Started → DATA ADMINISTRATION 1. Select JSON File 2. Select File Type (Input,Context or Output) 3. Click submit.
","We onyl acecpt JSON file. You can go Go to Lgoin → Get Started → DTAA ADMINISTRATION 1. Select JSON Fiel 2. Seletc Fiel Tyep (Ipnut, Contxte or Output) 3. Click submit.",1
"Sorry, we don’t have this option.",CRurre0ntly no,0
"Great question! The greater the number of nodes, the more test cases will be generated and the longer it will take. So if possible create a tree with necessary key values.
",Lik is it restorable?,0
What type of version is the output?,"Yes. Aft er you save it, we can download the correspo nding j son f ile g enerated by the app.",0
"For deleting nodes, you can go Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move mouse over the node.Right click on it and option to delete the node will be displayed. Sounds great. Can I change the color of nodes?","for deleting nodes, you can download go navigation : → login → get started → data administration with graph where move mouse over the node. right hand click on it button and option to delete the assigned node number will be displayed. look sounds really great. can how i change the color of nodes?",1
"I can’t answer
",Can I rweco_ver deleted nodes?,0
Can multiple users share a project and work together?,Are you asknig about input clsasifaiction?,0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",The rtee shoudl hvae olny there levels. Three is no limit on the number of nodse and child noeds. Higher the ondes more number of test cases will be generated.,1
How can I customize my own context tree?,How can I c ustomize my own cont ext tree?,1
How to export the output? Can I download the report instead of going back and forth?,how to export his picture? can i implement the report instead without going backwards and forth?,1
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Tree will be displayed.
",our system doesn't actually have the nodes in limitationn.,0
"For a given image or video, which features are considered context?","for a given image in situation, which aspects are considered context?",1
"You can add, delete or rename a node in the context tree.
",Lik at the end.,0
It’s needed to simplify the work,perhaps it ’ s just needed to simplify the work,1
Can we have customized shape of nodes when drawing the tree?,i just don ’ t know,0
"No. Currently we do not have this facility.
","send hello, back i also can ’ t find the delete button for local input classification list nodes. can you help me? sure. you move your mouse over the node. right click on it and option used to delete the node itself will be clearly displayed.",0
Can I continue to modify on it?,Go to Login → Get Stted → DTA ADMINISTRATION WTH GRAPH,0
"Sorry, now we don't have this function.
",“ Crea te 5 Nodes ” option to add fi ve child n odes with d efault names. Th en select the node to re name w ith appropriate values,0
"Please  click the ‘CONTACT’ button in the left panel
",please click the public contact ’ button to upper left panel,1
"Yes
",« yes,1
Right.,absolutely right.,1
Can multiple users share a project and work together?,Can umltipel usesr share a rpojcet and work together?,1
Thank you. What else file format can I upload except JSON.,"In Input tree modeling we are defining the factors whiSch need to be considered while testing a certauion product. We use this tree while defining the test case group and to generate the test cases oTest Case Input modeling refers to Data / Input Dat#a regqpuired for the test casje. In this module, we are ^proviPding the user agbil(ity to add input data to the test case (either manually or with the help of a web searich engine",0
"Yes for sure, could you please clarify 'previous information'?","Yes for sure, could you ple ase clari fy ' pr evious information '?",1
"No
",with more will i do to a node in the context tree?,0
"There is no nodes limitationn.
",here is no nodes limitationn.,1
 Is there template available for reference?,"it may connect, delete then rename a node in the context tree.",0
Great! Do you mean each node represents a context feature?,The qetion is interesting.,0
"Expected output tree will be used to compare actual application output to rate the quality.
",Expected output tree wll be use to coare actual application outpu to rate the quality.,1
 Currently the app is in the development stage. So the performance capabilities are limited and not supported.,great! what'″ s just the upper income bound condition of the number of child nodes?,0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
","if so i can have more than 50 child nodes for the foster parents child nodes, would that possibly be okay?",0
"No.
",thanks for your continued help.,0
JSON file,the json file,1
Current the performance testing feature is not available.,Go to Log4in → Get Started → zDATA ADMINISTRATION WITaH GhRAPH SeleFct tree / file from dropdown liWst. Click Delete.,0
Would you provide detail information about it?,Would you rpvoide detail information aobut it?,1
For real? Like as many as I want?,"No, we don ' t h ave that option. We utilize systems f ile exp lorer. But on ce us er opens the di rectory and selec ts a file, the sa me directory w ill open during the user se ssion.",0
Is there a limitation on the number of output we could have from the same dataset?,is there a limitations on that number of experiments we could have without the available dataset?,1
You can Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Rename Node” option.A popup window will open.Change name and Click rename. Do I answer you question?,You can Go to Login → Get Started → DATA ADMuINISTRA7T^IOtN WITH GRAPH gMove the mou5se Oover the node. Riglht cliTck on it and select “ Rename Nodne ” option. A popup window wiyll open. XChange name and Click rename. Do I answe5r you question?,1
Great! Do you mean each node represents a context feature?,great! do you mean with each list node represents all a context feature?,1
What do you mean by format?,alright. do you know of how much many nodes which can i possibly enter from for my input classificaiton? is also there any specific limitation?,0
"Sorry, we don’t have that option. But you can create a new node.
","Soryr, we don ’ t haev htat option. But you can creaet a new noed.",1
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",You are wecloem,0
How can I use spanning trees in the dashboard?,How can I use spannngi trees in the dashobadr?,1
Name the files accordingly and store multiple versions of the file. Also copy tree function is available,"Yes, you can go to Loign -> Get Started -> TEST CASE GRUOP, then select appropriate etst case rgoup, scroll to rgiht till you see the action column. Hover over aech cation button to see the description, click ‘ View Test Cases ’. Then you will be redriecdte to ipnut test cases. Did I solve your problem?",0
"If I switch to other app and come back, the same directory still open?",you can similarly limit the full number of unique test cases by limiting partially the number of nodes in your input file and context tree.,0
"I tried to upload a Jason file, where can I see my testing tree?","I tried to upload a Jason *file, wher(e can I see my tepsVting Etree?",1
Can I use scratch input classification tree?,can i make an input classification tree?,1
Got it. It’s the test cases organization method,Go to Login → Get Satrtde → ADTA DAMINISTRAITON WITH GRAPH Selcet tree / fiel rfom dropdown list. Tree iwll be displayed.,0
"Let me check
",Let me ^check,1
"The webpage was frozen when I was creating the context tree. If I refresh this page, will I lose my records?","The webpage was frozen whe I was ceaing the context tre. If I rereh thi page, will I los my rcors?",1
"Move mouse over the node. Right click on it and option to delete the node will be displayed.
",No,0
How can I organize the context features? Can you provide a template?,how can operator i immediately organize the model context with features? can you provide a template?,1
"There is no limit to the number of nodes and child nodes, but tree should have only three levels.","there is no limit over total number of nodes and child stages, but tree stages have all 48 levels.",1
What functions are supported by the tool?,WhaBt fVunctixons are supported by the tool?,1
"Use  Group Name , Version, Sub-version fields to create different groups for the same application",the availability of nodes at that level will be automatically computed based on name ( a - z ) after each method. application order does't specify the method generation.,0
"Copy tree is to copy the version
",We accept JSNO file.,0
"Sorry, we use JSON file to generate testing cases.
","Sorry, we use SJON file to generate etstign casse.",1
"Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Click Delete.
",Currten the performance tseitng feature is not available.,0
"Sure. Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move mouse over the node.Right click on it and option to delete the node will be displayed
",sure. navigation : login → data started → data transfer ← simple move mouse over the node. right click into it and start with delete of list will become displayed,1
Can I edit the input and context without generating the output tree when I reach the output stage? Like can I edit the information without saving it?,"second, navigation : loop click get start → data administration with graph move mouse over the node. right → push it or try to scan the path will be displayed",0
Is there any limit to the number of nodes that I can enter?,perhaps it ’ s just needed to simplify the work,0
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Select tree/file from dropdown list.
",go reverse login the get started → data administration equals graph. no tree / file or dropdown task.,1
"You can add, delete or rename a node in the context tree.
","you can likewise add, either delete or null rename a node in the context processing tree.",1
No. This feature will need to be developed.,I can fin+d the way to delete nodeGs fro$m classification?,0
"Yes, no problem.
","Yes, no prlobem.",1
"You can try it, but your usage may be interrupted during the usage
","some can try it, but each voice may be interrupted during the play",1
"Mouse scroll to zoom-in and zoom-out the tree, or click and hold to move tree around.
","U sers can create an output tree or out put tree can be g enerated automat ically bas ed on the in put and context tr ee. On ce the “ test case group ” is created, u sers can edit input, context and output tre es.",0
Why?,"sorry, only we don ’ t have that option. sorry but you probably can also create a single new node.",0
"what do you mean
",select tree / image file from dropdown tree list. then tree images will be displayed.,0
"Delete action is hard delete. I.e., you cannot view the test case once deleted.
","delete action within a delete. o. t., they cannot view the test case unless deleted.",1
